#b	k	
-0.35	2.358122438787171004e-24
-0.3	2.168371009352627046e-19
-0.25	6.935033556734838797e-15
-0.2	2.379354335699539003e-11
-0.15	7.724676543366357230e-09
-0.1	5.833354639807797547e-07
-0.05	2.203160846529132153e-05
0.0	4.651135241349745346e-04
0.05	5.928455386500655275e-03
0.1	4.500231136655246517e-02
0.15	1.867234659798872043e-01
0.2	3.227113686327939268e-01
