#b	k	
-0.2	1.838053956010511500e-22
-0.15	2.679443036392714015e-17
-0.1	3.596215810098274129e-13
-0.05	4.598336754332856176e-10
0.0	8.722949186569702785e-08
0.05	7.098013343847819278e-06
0.1	2.884967454354418997e-04
0.15	6.369851961083317256e-03
0.2	7.281629571046210891e-02
0.25	3.651232165764861648e-01
