#b	FW		BW
-0.2	0.459559562	0.061677005		
-0.15	0.385104184	0.085974401		
-0.1	0.313340176	0.113593544		
-0.05	0.24563477	0.145666123		
0.0	0.186513832	0.186513832		
0.05	0.145666123	0.24563477		
0.1	0.113593544	0.313340176
0.15	0.085974401	0.385104184		
0.2	0.061677005	0.459559562
0.25	0.040289314	0.535997090
0.3	0.021772787	0.613953747
0.35	0.006532773	0.693080028
