#b	k	
-0.2	2.979516663315483005e-38
-0.15	6.265290972579226015e-32
-0.1	7.163825247175642572e-26
-0.05	3.144572958397982260e-20
0.0	1.720189482995614039e-15
0.05	8.933375282657129491e-12
0.1	5.506464360770318162e-09
0.15	1.176337045490012463e-06
0.2	1.156024558428244607e-04
0.25	5.588263528154265546e-03
0.3     1.230471313148753243e-01
0.35	7.805668806889731748e-01
